field,band,peak,snr_value
SPLUS-n12s14.fits,r,20.159489,5
SPLUS-n12s14.fits,r,19.593763,10
SPLUS-n12s14.fits,r,17.776894,50
SPLUS-n12s14.fits,u,19.95034,3
SPLUS-n12s14.fits,u,19.485989,5
SPLUS-n12s14.fits,u,18.454767,10
SPLUS-n12s14.fits,u,16.662151,50
SPLUS-n12s14.fits,z,19.935482,3
SPLUS-n12s14.fits,z,19.193195,5
SPLUS-n12s14.fits,z,18.542774,10
SPLUS-n12s14.fits,z,16.969654,50
SPLUS-n12s14.fits,g,20.68925,3
SPLUS-n12s14.fits,g,19.986187,5
SPLUS-n12s14.fits,g,19.442188,10
SPLUS-n12s14.fits,g,17.803888,50
SPLUS-n11s26.fits,J0378,20.440178,3
SPLUS-n11s26.fits,J0378,19.419529,5
SPLUS-n11s26.fits,J0378,18.920725,10
SPLUS-n11s26.fits,J0378,16.833294,50
SPLUS-n11s26.fits,J0395,20.142519,3
SPLUS-n11s26.fits,J0395,19.241238,5
SPLUS-n11s26.fits,J0395,17.848438,10
SPLUS-n11s26.fits,J0395,16.587439,50
SPLUS-n11s26.fits,J0410,20.01163,3
SPLUS-n11s26.fits,J0410,19.606915,5
SPLUS-n11s26.fits,J0410,18.266304,10
SPLUS-n11s26.fits,J0410,16.79207,50
SPLUS-n11s26.fits,J0430,20.351078,3
SPLUS-n11s26.fits,J0430,19.553185,5
SPLUS-n11s26.fits,J0430,18.686378,10
SPLUS-n11s26.fits,J0430,16.414865,50
SPLUS-n11s26.fits,J0515,20.20695,3
SPLUS-n11s26.fits,J0515,19.91146,5
SPLUS-n11s26.fits,J0515,18.862503,10
SPLUS-n11s26.fits,J0515,17.17175,50
SPLUS-n11s26.fits,J0660,20.984283,3
SPLUS-n11s26.fits,J0660,20.478683,5
SPLUS-n11s26.fits,J0660,19.293201,10
SPLUS-n11s26.fits,J0660,17.913397,50
SPLUS-n11s26.fits,J0861,20.266674,3
SPLUS-n11s26.fits,J0861,19.52926,5
SPLUS-n11s26.fits,J0861,18.389137,10
SPLUS-n11s26.fits,J0861,16.966679,50
SPLUS-n11s26.fits,i,20.936283,3
SPLUS-n11s26.fits,i,20.283773,5
